ID_AGIS2,STATEDC,AREANAME,POP90,FMR0BR,FMR1BR,FMR2BR,FMR3BR,FMR4BR
CNTY51001,VA,Accomack,31703,365,395,461,613,738
CNTY51005,VA,Alleghany,13176,320,389,456,613,738
CNTY51007,VA,Amelia,8787,308,389,456,613,738
CNTY51011,VA,Appomattox,12298,308,389,456,613,738
CNTY51015,VA,Augusta,54677,308,399,485,639,776
CNTY51017,VA,Bath,4799,308,389,456,613,738
CNTY51021,VA,Bland,6514,308,389,456,613,738
CNTY51025,VA,Brunswick,15987,308,389,456,613,738
CNTY51027,VA,Buchanan,31333,308,389,456,613,738
CNTY51029,VA,Buckingham,12873,308,389,456,613,738
CNTY51033,VA,Caroline,19217,436,442,591,784,826
CNTY51035,VA,Carroll,26594,308,389,456,613,738
CNTY51037,VA,Charlotte,11688,308,389,456,613,738
CNTY51045,VA,Craig,4372,308,389,456,613,738
CNTY51049,VA,Cumberland,7825,308,423,490,613,738
CNTY51051,VA,Dickenson,17620,308,389,456,613,738
CNTY51057,VA,Essex,8689,308,433,511,712,841
CNTY51063,VA,Floyd,12005,308,389,456,613,738
CNTY51067,VA,Franklin,39549,308,389,456,613,738
CNTY51069,VA,Frederick,45723,419,483,581,795,952
CNTY51071,VA,Giles,16366,308,389,456,613,738
CNTY51077,VA,Grayson,16278,308,389,456,613,738
CNTY51081,VA,Greensville,8853,308,399,456,613,738
CNTY51083,VA,Halifax,29033,308,389,456,613,738
CNTY51089,VA,Henry,56942,308,389,456,613,738
CNTY51091,VA,Highland,2635,308,389,456,613,738
CNTY51097,VA,King and Queen,6289,308,442,498,622,738
CNTY51101,VA,King William,10913,308,423,473,613,738
CNTY51103,VA,Lancaster,10896,386,432,488,650,792
CNTY51105,VA,Lee,24496,308,389,456,613,738
CNTY51109,VA,Louisa,20325,308,401,495,687,738
CNTY51111,VA,Lunenburg,11419,308,389,456,613,738
CNTY51113,VA,Madison,11949,309,459,516,648,848
CNTY51117,VA,Mecklenburg,29241,308,389,456,613,738
CNTY51119,VA,Middlesex,8653,308,391,456,613,738
CNTY51121,VA,Montgomery,73913,316,417,489,679,803
CNTY51125,VA,Nelson,12778,308,389,456,613,738
CNTY51131,VA,Northampton,13061,308,389,456,613,738
CNTY51133,VA,Northumberland,10524,308,389,456,613,738
CNTY51135,VA,Nottoway,14993,308,389,456,613,738
CNTY51137,VA,Orange,21421,342,464,622,866,1016
CNTY51139,VA,Page,21690,358,403,456,613,738
CNTY51141,VA,Patrick,17473,308,389,456,613,738
CNTY51147,VA,Prince Edward,17320,345,391,456,613,738
CNTY51155,VA,Pulaski,34496,308,389,456,613,738
CNTY51157,VA,Rappahannock,6622,312,506,570,790,932
CNTY51159,VA,Richmond,7273,308,412,460,613,757
CNTY51163,VA,Rockbridge,18350,308,389,456,613,738
CNTY51165,VA,Rockingham,57482,308,427,540,740,868
CNTY51167,VA,Russell,28667,308,389,456,613,738
CNTY51171,VA,Shenandoah,31636,406,417,512,710,807
CNTY51173,VA,Smyth,32370,308,389,456,613,738
CNTY51175,VA,Southampton,17550,308,389,456,613,738
CNTY51181,VA,Surry,6145,319,389,456,613,738
CNTY51183,VA,Sussex,10248,308,389,456,613,738
CNTY51185,VA,Tazewell,45960,308,389,456,613,738
CNTY51193,VA,Westmoreland,15480,308,417,553,696,900
CNTY51195,VA,Wise,39573,308,389,456,613,738
CNTY51197,VA,Wythe,25466,321,389,456,613,738
MSA1540,VA,Albemarle,68040,459,543,693,922,1033
MSA1650,VA,Clarke,12101,352,496,642,882,900
MSA1891,VA,Culpeper,27791,411,598,695,920,1102
MSA1950,VA,Pittsylvania,55655,313,394,463,622,750
MSA3830,VA,King George,13527,426,567,636,884,891
MSA4640,VA,Amherst,28578,372,411,473,622,750
MSA6760,VA,Charles City,6282,592,669,780,1084,1279
MSA6800,VA,Botetourt,24992,315,394,512,656,817
MSA8820,VA,Warren,26142,344,471,629,823,1028