fips,fmr0,fmr1,fmr2,fmr3,fmr4,State,county,CouSub,pop2000,countyname,Metro_code,Areaname,county_town_name,state_alpha,fmr_type,metro
5100199999,366,501,563,684,842,51,1,99999,38305,Accomack County,NCNTY51001N51001,"Accomack County, VA",Accomack County,VA,40,0
5100399999,595,716,847,1098,1215,51,3,99999,79236,Albemarle County,METRO16820M16820,"Charlottesville, VA MSA",Albemarle County,VA,40,1
5100599999,348,446,535,650,678,51,5,99999,12926,Alleghany County,NCNTY51005N51005,"Alleghany County-Clifton Forge city-Covington city, VA HUD Nonmetro FMR Area",Alleghany County,VA,40,0
5100799999,719,779,870,1161,1386,51,7,99999,11400,Amelia County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Amelia County,VA,50,1
5100999999,481,494,595,734,819,51,9,99999,31894,Amherst County,METRO31340M31340,"Lynchburg, VA MSA",Amherst County,VA,40,1
5101199999,481,494,595,734,819,51,11,99999,13705,Appomattox County,METRO31340M31340,"Lynchburg, VA MSA",Appomattox County,VA,40,1
5101399999,1025,1168,1324,1708,2235,51,13,99999,189453,Arlington County,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Arlington County,VA,50,1
5101599999,467,481,627,897,1031,51,15,99999,65615,Augusta County,NCNTY51015N51015,"Augusta County-Staunton city-Waynesboro city, VA HUD Nonmetro FMR Area",Augusta County,VA,40,0
5101799999,458,477,592,817,986,51,17,99999,5048,Bath County,NCNTY51017N51017,"Bath County, VA",Bath County,VA,40,0
5101999999,481,494,595,734,819,51,19,99999,60371,Bedford County,METRO31340M31340,"Lynchburg, VA MSA",Bedford County,VA,40,1
5102199999,446,461,535,682,758,51,21,99999,6871,Bland County,NCNTY51021N51021,"Bland County, VA",Bland County,VA,40,0
5102399999,477,508,656,832,909,51,23,99999,30496,Botetourt County,METRO40220M40220,"Roanoke, VA HUD Metro FMR Area",Botetourt County,VA,40,1
5102599999,461,476,555,692,958,51,25,99999,18419,Brunswick County,NCNTY51025N51025,"Brunswick County, VA",Brunswick County,VA,40,0
5102799999,446,461,535,682,758,51,27,99999,26978,Buchanan County,NCNTY51027N51027,"Buchanan County, VA",Buchanan County,VA,40,0
5102999999,445,480,535,687,870,51,29,99999,15623,Buckingham County,NCNTY51029N51029,"Buckingham County, VA",Buckingham County,VA,40,0
5103199999,481,494,595,734,819,51,31,99999,51078,Campbell County,METRO31340M31340,"Lynchburg, VA MSA",Campbell County,VA,40,1
5103399999,719,779,870,1161,1386,51,33,99999,22121,Caroline County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Caroline County,VA,50,1
5103599999,445,483,535,641,713,51,35,99999,29245,Carroll County,NCNTY51035N51035,"Carroll County-Galax city, VA HUD Nonmetro FMR Area",Carroll County,VA,40,0
5103699999,719,779,870,1161,1386,51,36,99999,6926,Charles City County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Charles City County,VA,50,1
5103799999,445,480,535,687,870,51,37,99999,12472,Charlotte County,NCNTY51037N51037,"Charlotte County, VA",Charlotte County,VA,40,0
5104199999,719,779,870,1161,1386,51,41,99999,259903,Chesterfield County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Chesterfield County,VA,50,1
5104399999,1025,1168,1324,1708,2235,51,43,99999,12652,Clarke County,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Clarke County,VA,50,1
5104599999,477,508,656,832,909,51,45,99999,5091,Craig County,METRO40220M40220,"Roanoke, VA HUD Metro FMR Area",Craig County,VA,40,1
5104799999,604,615,728,941,1000,51,47,99999,34262,Culpeper County,NCNTY51047N51047,"Culpeper County, VA",Culpeper County,VA,40,0
5104999999,719,779,870,1161,1386,51,49,99999,9017,Cumberland County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Cumberland County,VA,50,1
5105199999,446,477,535,698,718,51,51,99999,16395,Dickenson County,NCNTY51051N51051,"Dickenson County, VA",Dickenson County,VA,40,0
5105399999,719,779,870,1161,1386,51,53,99999,24533,Dinwiddie County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Dinwiddie County,VA,50,1
5105799999,430,531,654,890,918,51,57,99999,9989,Essex County,NCNTY51057N51057,"Essex County, VA",Essex County,VA,40,0
5105999999,1025,1168,1324,1708,2235,51,59,99999,969749,Fairfax County,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Fairfax County,VA,50,1
5106199999,1025,1168,1324,1708,2235,51,61,99999,55139,Fauquier County,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Fauquier County,VA,50,1
5106399999,492,536,594,826,1046,51,63,99999,13874,Floyd County,NCNTY51063N51063,"Floyd County, VA",Floyd County,VA,40,0
5106599999,595,716,847,1098,1215,51,65,99999,20047,Fluvanna County,METRO16820M16820,"Charlottesville, VA MSA",Fluvanna County,VA,40,1
5106799999,347,416,535,640,682,51,67,99999,47286,Franklin County,METRO40220N51067,"Franklin County, VA HUD Metro FMR Area",Franklin County,VA,40,1
5106999999,524,544,718,991,1020,51,69,99999,59209,Frederick County,METRO49020M49020,"Winchester, VA-WV MSA",Frederick County,VA,40,1
5107199999,348,452,535,682,941,51,71,99999,16657,Giles County,METRO13980N51071,"Giles County, VA HUD Metro FMR Area",Giles County,VA,40,1
5107399999,749,787,904,1247,1561,51,73,99999,34780,Gloucester County,METRO47260M47260,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",Gloucester County,VA,50,1
5107599999,719,779,870,1161,1386,51,75,99999,16863,Goochland County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Goochland County,VA,50,1
5107799999,446,461,535,682,758,51,77,99999,17917,Grayson County,NCNTY51077N51077,"Grayson County, VA",Grayson County,VA,40,0
5107999999,595,716,847,1098,1215,51,79,99999,15244,Greene County,METRO16820M16820,"Charlottesville, VA MSA",Greene County,VA,40,1
5108199999,462,501,556,672,834,51,81,99999,11560,Greensville County,NCNTY51081N51081,"Greensville County-Emporia city, VA HUD Nonmetro FMR Area",Greensville County,VA,40,0
5108399999,348,483,535,719,940,51,83,99999,37355,Halifax County,NCNTY51083N51083,"Halifax County, VA",Halifax County,VA,40,0
5108599999,719,779,870,1161,1386,51,85,99999,86320,Hanover County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Hanover County,VA,50,1
5108799999,719,779,870,1161,1386,51,87,99999,262300,Henrico County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Henrico County,VA,50,1
5108999999,412,429,535,686,786,51,89,99999,57930,Henry County,NCNTY51089N51089,"Henry County-Martinsville city, VA HUD Nonmetro FMR Area",Henry County,VA,40,0
5109199999,458,477,592,817,986,51,91,99999,2536,Highland County,NCNTY51091N51091,"Highland County, VA",Highland County,VA,40,0
5109399999,749,787,904,1247,1561,51,93,99999,29728,Isle of Wight County,METRO47260M47260,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",Isle of Wight County,VA,50,1
5109599999,749,787,904,1247,1561,51,95,99999,48102,James City County,METRO47260M47260,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",James City County,VA,50,1
5109799999,719,779,870,1161,1386,51,97,99999,6630,King and Queen County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",King and Queen County,VA,50,1
5109999999,611,612,736,1070,1102,51,99,99999,16803,King George County,NCNTY51099N51099,"King George County, VA",King George County,VA,40,0
5110199999,719,779,870,1161,1386,51,101,99999,13146,King William County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",King William County,VA,50,1
5110399999,430,530,645,793,854,51,103,99999,11567,Lancaster County,NCNTY51103N51103,"Lancaster County, VA",Lancaster County,VA,40,0
5110599999,347,418,535,687,728,51,105,99999,23589,Lee County,NCNTY51105N51105,"Lee County, VA",Lee County,VA,40,0
5110799999,1025,1168,1324,1708,2235,51,107,99999,169599,Loudoun County,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Loudoun County,VA,50,1
5110999999,570,647,737,881,907,51,109,99999,25627,Louisa County,METRO40060N51109,"Louisa County, VA HUD Metro FMR Area",Louisa County,VA,40,1
5111199999,461,476,555,692,958,51,111,99999,13146,Lunenburg County,NCNTY51111N51111,"Lunenburg County, VA",Lunenburg County,VA,40,0
5111399999,473,528,638,883,911,51,113,99999,12520,Madison County,NCNTY51113N51113,"Madison County, VA",Madison County,VA,40,0
5111599999,749,787,904,1247,1561,51,115,99999,9207,Mathews County,METRO47260M47260,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",Mathews County,VA,50,1
5111799999,351,438,540,663,883,51,117,99999,32380,Mecklenburg County,NCNTY51117N51117,"Mecklenburg County, VA",Mecklenburg County,VA,40,0
5111999999,430,530,645,786,854,51,119,99999,9932,Middlesex County,NCNTY51119N51119,"Middlesex County, VA",Middlesex County,VA,40,0
5112199999,521,571,639,877,1123,51,121,99999,83629,Montgomery County,METRO13980N51121,"Blacksburg-Christiansburg-Radford, VA HUD Metro FMR Area",Montgomery County,VA,40,1
5112599999,595,716,847,1098,1215,51,125,99999,14445,Nelson County,METRO16820M16820,"Charlottesville, VA MSA",Nelson County,VA,40,1
5112799999,719,779,870,1161,1386,51,127,99999,13462,New Kent County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",New Kent County,VA,50,1
5113199999,430,530,645,786,854,51,131,99999,13093,Northampton County,NCNTY51131N51131,"Northampton County, VA",Northampton County,VA,40,0
5113399999,430,530,645,786,854,51,133,99999,12259,Northumberland County,NCNTY51133N51133,"Northumberland County, VA",Northumberland County,VA,40,0
5113599999,445,480,535,760,870,51,135,99999,15725,Nottoway County,NCNTY51135N51135,"Nottoway County, VA",Nottoway County,VA,40,0
5113799999,429,590,657,956,1153,51,137,99999,25881,Orange County,NCNTY51137N51137,"Orange County, VA",Orange County,VA,40,0
5113999999,364,425,558,720,742,51,139,99999,23177,Page County,NCNTY51139N51139,"Page County, VA",Page County,VA,40,0
5114199999,444,483,535,663,683,51,141,99999,19407,Patrick County,NCNTY51141N51141,"Patrick County, VA",Patrick County,VA,40,0
5114399999,379,435,561,700,751,51,143,99999,61745,Pittsylvania County,METRO19260M19260,"Danville, VA MSA",Pittsylvania County,VA,40,1
5114599999,719,779,870,1161,1386,51,145,99999,22377,Powhatan County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Powhatan County,VA,50,1
5114799999,520,521,626,749,1003,51,147,99999,19720,Prince Edward County,NCNTY51147N51147,"Prince Edward County, VA",Prince Edward County,VA,40,0
5114999999,719,779,870,1161,1386,51,149,99999,33047,Prince George County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Prince George County,VA,50,1
5115399999,1025,1168,1324,1708,2235,51,153,99999,280813,Prince William County,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Prince William County,VA,50,1
5115599999,406,429,535,767,824,51,155,99999,35127,Pulaski County,METRO13980N51155,"Pulaski County, VA HUD Metro FMR Area",Pulaski County,VA,40,1
5115799999,473,528,638,883,911,51,157,99999,6983,Rappahannock County,NCNTY51157N51157,"Rappahannock County, VA",Rappahannock County,VA,40,0
5115999999,430,530,645,786,854,51,159,99999,8809,Richmond County,NCNTY51159N51159,"Richmond County, VA",Richmond County,VA,40,0
5116199999,477,508,656,832,909,51,161,99999,85778,Roanoke County,METRO40220M40220,"Roanoke, VA HUD Metro FMR Area",Roanoke County,VA,40,1
5116399999,427,480,535,779,938,51,163,99999,20808,Rockbridge County,NCNTY51163N51163,"Rockbridge County-Buena Vista city-Lexington city, VA HUD Nonmetro FMR Area",Rockbridge County,VA,40,0
5116599999,480,533,649,909,934,51,165,99999,67725,Rockingham County,METRO25500M25500,"Harrisonburg, VA MSA",Rockingham County,VA,40,1
5116799999,349,462,535,655,675,51,167,99999,30308,Russell County,NCNTY51167N51167,"Russell County, VA",Russell County,VA,40,0
5116999999,401,431,535,717,857,51,169,99999,23403,Scott County,METRO28700M28700,"Kingsport-Bristol-Bristol, TN-VA MSA",Scott County,VA,40,1
5117199999,440,472,577,770,853,51,171,99999,35075,Shenandoah County,NCNTY51171N51171,"Shenandoah County, VA",Shenandoah County,VA,40,0
5117399999,442,480,535,679,880,51,173,99999,33081,Smyth County,NCNTY51173N51173,"Smyth County, VA",Smyth County,VA,40,0
5117599999,388,537,595,736,1047,51,175,99999,17482,Southampton County,NCNTY51175N51175,"Southampton County-Franklin city, VA HUD Nonmetro FMR Area",Southampton County,VA,40,0
5117799999,1025,1168,1324,1708,2235,51,177,99999,90395,Spotsylvania County,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Spotsylvania County,VA,50,1
5117999999,1025,1168,1324,1708,2235,51,179,99999,92446,Stafford County,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Stafford County,VA,50,1
5118199999,749,787,904,1247,1561,51,181,99999,6829,Surry County,METRO47260M47260,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",Surry County,VA,50,1
5118399999,719,779,870,1161,1386,51,183,99999,12504,Sussex County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Sussex County,VA,50,1
5118599999,446,447,535,687,777,51,185,99999,44598,Tazewell County,NCNTY51185N51185,"Tazewell County, VA",Tazewell County,VA,40,0
5118799999,496,577,719,1011,1042,51,187,99999,31584,Warren County,METRO47900MM8820,"Warren County, VA HUD Metro FMR Area",Warren County,VA,40,1
5119199999,401,431,535,717,857,51,191,99999,51103,Washington County,METRO28700M28700,"Kingsport-Bristol-Bristol, TN-VA MSA",Washington County,VA,40,1
5119399999,435,530,669,918,945,51,193,99999,16718,Westmoreland County,NCNTY51193N51193,"Westmoreland County, VA",Westmoreland County,VA,40,0
5119599999,445,454,535,696,877,51,195,99999,40123,Wise County,NCNTY51195N51195,"Wise County-Norton city, VA HUD Nonmetro FMR Area",Wise County,VA,40,0
5119799999,348,440,535,701,941,51,197,99999,27599,Wythe County,NCNTY51197N51197,"Wythe County, VA",Wythe County,VA,40,0
5119999999,749,787,904,1247,1561,51,199,99999,56297,York County,METRO47260M47260,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",York County,VA,50,1
5151099999,1025,1168,1324,1708,2235,51,510,99999,128283,Alexandria city,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Alexandria city,VA,50,1
5151599999,481,494,595,734,819,51,515,99999,6299,Bedford city,METRO31340M31340,"Lynchburg, VA MSA",Bedford city,VA,40,1
5152099999,401,431,535,717,857,51,520,99999,17367,Bristol city,METRO28700M28700,"Kingsport-Bristol-Bristol, TN-VA MSA",Bristol city,VA,40,1
5153099999,427,480,535,779,938,51,530,99999,6349,Buena Vista city,NCNTY51163N51163,"Rockbridge County-Buena Vista city-Lexington city, VA HUD Nonmetro FMR Area",Buena Vista city,VA,40,0
5154099999,595,716,847,1098,1215,51,540,99999,45049,Charlottesville city,METRO16820M16820,"Charlottesville, VA MSA",Charlottesville city,VA,40,1
5155099999,749,787,904,1247,1561,51,550,99999,199184,Chesapeake city,METRO47260M47260,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",Chesapeake city,VA,50,1
5156099999,348,446,535,650,678,51,560,99999,4289,Clifton Forge city,NCNTY51005N51005,"Alleghany County-Clifton Forge city-Covington city, VA HUD Nonmetro FMR Area",Clifton Forge city,VA,40,0
5157099999,719,779,870,1161,1386,51,570,99999,16897,Colonial Heights city,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Colonial Heights city,VA,50,1
5158099999,348,446,535,650,678,51,580,99999,6303,Covington city,NCNTY51005N51005,"Alleghany County-Clifton Forge city-Covington city, VA HUD Nonmetro FMR Area",Covington city,VA,40,0
5159099999,379,435,561,700,751,51,590,99999,48411,Danville city,METRO19260M19260,"Danville, VA MSA",Danville city,VA,40,1
5159599999,462,501,556,672,834,51,595,99999,5665,Emporia city,NCNTY51081N51081,"Greensville County-Emporia city, VA HUD Nonmetro FMR Area",Emporia city,VA,40,0
5160099999,1025,1168,1324,1708,2235,51,600,99999,21498,Fairfax city,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Fairfax city,VA,50,1
5161099999,1025,1168,1324,1708,2235,51,610,99999,10377,Falls Church city,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Falls Church city,VA,50,1
5162099999,388,537,595,736,1047,51,620,99999,8346,Franklin city,NCNTY51175N51175,"Southampton County-Franklin city, VA HUD Nonmetro FMR Area",Franklin city,VA,40,0
5163099999,1025,1168,1324,1708,2235,51,630,99999,19279,Fredericksburg city,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Fredericksburg city,VA,50,1
5164099999,445,483,535,641,713,51,640,99999,6837,Galax city,NCNTY51035N51035,"Carroll County-Galax city, VA HUD Nonmetro FMR Area",Galax city,VA,40,0
5165099999,749,787,904,1247,1561,51,650,99999,146437,Hampton city,METRO47260M47260,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",Hampton city,VA,50,1
5166099999,480,533,649,909,934,51,660,99999,40468,Harrisonburg city,METRO25500M25500,"Harrisonburg, VA MSA",Harrisonburg city,VA,40,1
5167099999,719,779,870,1161,1386,51,670,99999,22354,Hopewell city,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Hopewell city,VA,50,1
5167899999,427,480,535,779,938,51,678,99999,6867,Lexington city,NCNTY51163N51163,"Rockbridge County-Buena Vista city-Lexington city, VA HUD Nonmetro FMR Area",Lexington city,VA,40,0
5168099999,481,494,595,734,819,51,680,99999,65269,Lynchburg city,METRO31340M31340,"Lynchburg, VA MSA",Lynchburg city,VA,40,1
5168399999,1025,1168,1324,1708,2235,51,683,99999,35135,Manassas city,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Manassas city,VA,50,1
5168599999,1025,1168,1324,1708,2235,51,685,99999,10290,Manassas Park city,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Manassas Park city,VA,50,1
5169099999,412,429,535,686,786,51,690,99999,15416,Martinsville city,NCNTY51089N51089,"Henry County-Martinsville city, VA HUD Nonmetro FMR Area",Martinsville city,VA,40,0
5170099999,749,787,904,1247,1561,51,700,99999,180150,Newport News city,METRO47260M47260,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",Newport News city,VA,50,1
5171099999,749,787,904,1247,1561,51,710,99999,234403,Norfolk city,METRO47260M47260,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",Norfolk city,VA,50,1
5172099999,445,454,535,696,877,51,720,99999,3904,Norton city,NCNTY51195N51195,"Wise County-Norton city, VA HUD Nonmetro FMR Area",Norton city,VA,40,0
5173099999,719,779,870,1161,1386,51,730,99999,33740,Petersburg city,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Petersburg city,VA,50,1
5173599999,749,787,904,1247,1561,51,735,99999,11566,Poquoson city,METRO47260M47260,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",Poquoson city,VA,50,1
5174099999,749,787,904,1247,1561,51,740,99999,100565,Portsmouth city,METRO47260M47260,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",Portsmouth city,VA,50,1
5175099999,521,571,639,877,1123,51,750,99999,15859,Radford city,METRO13980N51121,"Blacksburg-Christiansburg-Radford, VA HUD Metro FMR Area",Radford city,VA,40,1
5176099999,719,779,870,1161,1386,51,760,99999,197790,Richmond city,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Richmond city,VA,50,1
5177099999,477,508,656,832,909,51,770,99999,94911,Roanoke city,METRO40220M40220,"Roanoke, VA HUD Metro FMR Area",Roanoke city,VA,40,1
5177599999,477,508,656,832,909,51,775,99999,24747,Salem city,METRO40220M40220,"Roanoke, VA HUD Metro FMR Area",Salem city,VA,40,1
5179099999,467,481,627,897,1031,51,790,99999,23853,Staunton city,NCNTY51015N51015,"Augusta County-Staunton city-Waynesboro city, VA HUD Nonmetro FMR Area",Staunton city,VA,40,0
5180099999,749,787,904,1247,1561,51,800,99999,63677,Suffolk city,METRO47260M47260,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",Suffolk city,VA,50,1
5181099999,749,787,904,1247,1561,51,810,99999,425257,Virginia Beach city,METRO47260M47260,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",Virginia Beach city,VA,50,1
5182099999,467,481,627,897,1031,51,820,99999,19520,Waynesboro city,NCNTY51015N51015,"Augusta County-Staunton city-Waynesboro city, VA HUD Nonmetro FMR Area",Waynesboro city,VA,40,0
5183099999,749,787,904,1247,1561,51,830,99999,11998,Williamsburg city,METRO47260M47260,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",Williamsburg city,VA,50,1
5184099999,524,544,718,991,1020,51,840,99999,23585,Winchester city,METRO49020M49020,"Winchester, VA-WV MSA",Winchester city,VA,40,1