state,statename,county,cntyname,cbsamet,cbnsmcnm,zipcode,area_rent_br0,area_rent_br1,area_rent_br2,area_rent_br3,area_rent_br4
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22901,700,920,1090,1390,1570
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22902,640,840,1000,1270,1440
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22903,640,840,1000,1270,1440
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22911,780,1040,1230,1570,1780
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22920,470,620,740,940,1070
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22923,610,800,950,1210,1370
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22931,700,930,1100,1400,1590
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22932,540,720,850,1080,1230
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22935,680,900,1070,1360,1540
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22936,870,1160,1370,1740,1980
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22937,530,700,830,1060,1200
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22940,580,770,910,1160,1310
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22942,550,730,860,1090,1240
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22943,700,930,1100,1400,1590
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22946,700,930,1100,1400,1590
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22947,1000,1320,1560,1980,2250
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22959,610,810,960,1220,1390
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22968,800,1060,1260,1600,1820
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22969,610,810,960,1220,1390
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22974,590,780,920,1170,1330
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",24590,540,710,840,1070,1210
51,Virginia,007,Amelia County,40060,"Richmond, VA MSA",23002,630,660,780,1030,1240
51,Virginia,007,Amelia County,40060,"Richmond, VA MSA",23083,550,580,690,910,1100
51,Virginia,007,Amelia County,40060,"Richmond, VA MSA",23833,560,590,700,920,1120
51,Virginia,007,Amelia County,40060,"Richmond, VA MSA",23850,660,690,820,1080,1310
51,Virginia,007,Amelia County,40060,"Richmond, VA MSA",23966,560,590,700,920,1120
51,Virginia,009,Amherst County,31340,"Lynchburg, VA MSA",22922,530,580,710,910,1050
51,Virginia,009,Amherst County,31340,"Lynchburg, VA MSA",22967,770,840,1030,1320,1520
51,Virginia,009,Amherst County,31340,"Lynchburg, VA MSA",24483,530,580,710,910,1050
51,Virginia,009,Amherst County,31340,"Lynchburg, VA MSA",24521,500,550,670,860,990
51,Virginia,009,Amherst County,31340,"Lynchburg, VA MSA",24553,520,570,690,880,1020
51,Virginia,009,Amherst County,31340,"Lynchburg, VA MSA",24572,550,600,730,930,1080
51,Virginia,009,Amherst County,31340,"Lynchburg, VA MSA",24574,520,570,690,880,1020
51,Virginia,009,Amherst County,31340,"Lynchburg, VA MSA",24595,530,580,710,910,1050
51,Virginia,011,Appomattox County,31340,"Lynchburg, VA MSA",23958,490,540,660,840,970
51,Virginia,011,Appomattox County,31340,"Lynchburg, VA MSA",23960,500,550,670,860,990
51,Virginia,011,Appomattox County,31340,"Lynchburg, VA MSA",23963,500,550,670,860,990
51,Virginia,011,Appomattox County,31340,"Lynchburg, VA MSA",24522,480,520,640,820,940
51,Virginia,011,Appomattox County,31340,"Lynchburg, VA MSA",24538,580,640,780,1000,1150
51,Virginia,011,Appomattox County,31340,"Lynchburg, VA MSA",24553,520,570,690,880,1020
51,Virginia,011,Appomattox County,31340,"Lynchburg, VA MSA",24593,500,550,670,860,990
51,Virginia,013,Arlington County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22201,1460,1540,1830,2450,3080
51,Virginia,013,Arlington County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22202,1610,1700,2010,2690,3380
51,Virginia,013,Arlington County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22203,1500,1590,1880,2520,3160
51,Virginia,013,Arlington County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22204,1110,1170,1390,1860,2340
51,Virginia,013,Arlington County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22205,1200,1270,1500,2010,2520
51,Virginia,013,Arlington County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22206,1400,1480,1750,2340,2940
51,Virginia,013,Arlington County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22207,1390,1470,1740,2330,2930
51,Virginia,013,Arlington County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22209,1340,1420,1680,2250,2820
51,Virginia,013,Arlington County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22210,1370,1440,1710,2290,2870
51,Virginia,013,Arlington County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22211,1370,1440,1710,2290,2870
51,Virginia,013,Arlington County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22213,1370,1440,1710,2290,2870
51,Virginia,019,Bedford County,31340,"Lynchburg, VA MSA",24064,680,750,910,1160,1340
51,Virginia,019,Bedford County,31340,"Lynchburg, VA MSA",24095,580,630,770,990,1140
51,Virginia,019,Bedford County,31340,"Lynchburg, VA MSA",24101,680,750,910,1160,1340
51,Virginia,019,Bedford County,31340,"Lynchburg, VA MSA",24104,630,690,840,1070,1240
51,Virginia,019,Bedford County,31340,"Lynchburg, VA MSA",24121,660,720,880,1130,1300
51,Virginia,019,Bedford County,31340,"Lynchburg, VA MSA",24122,480,520,640,820,940
51,Virginia,019,Bedford County,31340,"Lynchburg, VA MSA",24139,560,610,750,960,1110
51,Virginia,019,Bedford County,31340,"Lynchburg, VA MSA",24174,480,520,640,820,940
51,Virginia,019,Bedford County,31340,"Lynchburg, VA MSA",24179,550,600,730,930,1080
51,Virginia,019,Bedford County,31340,"Lynchburg, VA MSA",24503,600,660,800,1020,1180
51,Virginia,019,Bedford County,31340,"Lynchburg, VA MSA",24523,590,650,790,1010,1170
51,Virginia,019,Bedford County,31340,"Lynchburg, VA MSA",24526,560,610,750,960,1110
51,Virginia,019,Bedford County,31340,"Lynchburg, VA MSA",24536,560,610,750,960,1110
51,Virginia,019,Bedford County,31340,"Lynchburg, VA MSA",24550,510,560,680,870,1000
51,Virginia,019,Bedford County,31340,"Lynchburg, VA MSA",24551,510,560,680,870,1000
51,Virginia,019,Bedford County,31340,"Lynchburg, VA MSA",24556,710,780,950,1220,1400
51,Virginia,019,Bedford County,31340,"Lynchburg, VA MSA",24570,560,610,750,960,1110
51,Virginia,019,Bedford County,31340,"Lynchburg, VA MSA",24571,480,520,640,820,940
51,Virginia,023,Botetourt County,40220,"Roanoke, VA MSA",24019,580,670,840,1100,1250
51,Virginia,023,Botetourt County,40220,"Roanoke, VA MSA",24064,560,650,810,1060,1200
51,Virginia,023,Botetourt County,40220,"Roanoke, VA MSA",24066,510,590,730,960,1080
51,Virginia,023,Botetourt County,40220,"Roanoke, VA MSA",24077,560,650,810,1060,1200
51,Virginia,023,Botetourt County,40220,"Roanoke, VA MSA",24083,760,880,1100,1440,1630
51,Virginia,023,Botetourt County,40220,"Roanoke, VA MSA",24085,760,880,1100,1440,1630
51,Virginia,023,Botetourt County,40220,"Roanoke, VA MSA",24090,510,590,730,960,1080
51,Virginia,023,Botetourt County,40220,"Roanoke, VA MSA",24130,540,630,780,1020,1160
51,Virginia,023,Botetourt County,40220,"Roanoke, VA MSA",24175,640,740,920,1210,1370
51,Virginia,023,Botetourt County,40220,"Roanoke, VA MSA",24422,540,630,780,1020,1160
51,Virginia,023,Botetourt County,40220,"Roanoke, VA MSA",24579,540,630,780,1020,1160
51,Virginia,031,Campbell County,31340,"Lynchburg, VA MSA",24501,550,600,730,930,1080
51,Virginia,031,Campbell County,31340,"Lynchburg, VA MSA",24502,590,650,790,1010,1170
51,Virginia,031,Campbell County,31340,"Lynchburg, VA MSA",24504,570,620,760,970,1120
51,Virginia,031,Campbell County,31340,"Lynchburg, VA MSA",24517,480,520,640,820,940
51,Virginia,031,Campbell County,31340,"Lynchburg, VA MSA",24528,480,520,640,820,940
51,Virginia,031,Campbell County,31340,"Lynchburg, VA MSA",24538,580,640,780,1000,1150
51,Virginia,031,Campbell County,31340,"Lynchburg, VA MSA",24550,510,560,680,870,1000
51,Virginia,031,Campbell County,31340,"Lynchburg, VA MSA",24551,510,560,680,870,1000
51,Virginia,031,Campbell County,31340,"Lynchburg, VA MSA",24554,630,690,840,1070,1240
51,Virginia,031,Campbell County,31340,"Lynchburg, VA MSA",24569,490,540,660,840,970
51,Virginia,031,Campbell County,31340,"Lynchburg, VA MSA",24571,480,520,640,820,940
51,Virginia,031,Campbell County,31340,"Lynchburg, VA MSA",24588,510,560,680,870,1000
51,Virginia,033,Caroline County,40060,"Richmond, VA MSA",22408,810,850,1010,1330,1610
51,Virginia,033,Caroline County,40060,"Richmond, VA MSA",22427,570,600,710,930,1130
51,Virginia,033,Caroline County,40060,"Richmond, VA MSA",22438,810,850,1010,1330,1610
51,Virginia,033,Caroline County,40060,"Richmond, VA MSA",22514,950,1000,1190,1560,1900
51,Virginia,033,Caroline County,40060,"Richmond, VA MSA",22535,510,540,640,840,1020
51,Virginia,033,Caroline County,40060,"Richmond, VA MSA",22538,810,850,1010,1330,1610
51,Virginia,033,Caroline County,40060,"Richmond, VA MSA",22546,910,950,1130,1490,1800
51,Virginia,033,Caroline County,40060,"Richmond, VA MSA",22580,880,930,1100,1450,1750
51,Virginia,033,Caroline County,40060,"Richmond, VA MSA",23015,540,570,670,880,1070
51,Virginia,033,Caroline County,40060,"Richmond, VA MSA",23047,820,860,1020,1340,1630
51,Virginia,033,Caroline County,40060,"Richmond, VA MSA",23069,700,730,870,1140,1390
51,Virginia,036,Charles City County,40060,"Richmond, VA MSA",23030,680,720,850,1120,1350
51,Virginia,036,Charles City County,40060,"Richmond, VA MSA",23140,750,780,930,1220,1480
51,Virginia,036,Charles City County,40060,"Richmond, VA MSA",23185,670,710,840,1100,1340
51,Virginia,041,Chesterfield County,40060,"Richmond, VA MSA",23112,910,950,1130,1490,1800
51,Virginia,041,Chesterfield County,40060,"Richmond, VA MSA",23113,910,960,1140,1500,1820
51,Virginia,041,Chesterfield County,40060,"Richmond, VA MSA",23114,990,1040,1230,1620,1960
51,Virginia,041,Chesterfield County,40060,"Richmond, VA MSA",23120,800,840,1000,1320,1590
51,Virginia,041,Chesterfield County,40060,"Richmond, VA MSA",23224,670,700,830,1090,1320
51,Virginia,041,Chesterfield County,40060,"Richmond, VA MSA",23225,690,730,860,1130,1370
51,Virginia,041,Chesterfield County,40060,"Richmond, VA MSA",23234,710,750,890,1170,1420
51,Virginia,041,Chesterfield County,40060,"Richmond, VA MSA",23235,890,940,1110,1460,1770
51,Virginia,041,Chesterfield County,40060,"Richmond, VA MSA",23236,920,970,1150,1510,1830
51,Virginia,041,Chesterfield County,40060,"Richmond, VA MSA",23237,750,790,940,1240,1500
51,Virginia,041,Chesterfield County,40060,"Richmond, VA MSA",23803,630,670,790,1040,1260
51,Virginia,041,Chesterfield County,40060,"Richmond, VA MSA",23831,820,860,1020,1340,1630
51,Virginia,041,Chesterfield County,40060,"Richmond, VA MSA",23832,860,900,1070,1410,1700
51,Virginia,041,Chesterfield County,40060,"Richmond, VA MSA",23834,710,740,880,1160,1400
51,Virginia,041,Chesterfield County,40060,"Richmond, VA MSA",23836,830,880,1040,1370,1660
51,Virginia,041,Chesterfield County,40060,"Richmond, VA MSA",23838,1120,1180,1400,1840,2230
51,Virginia,043,Clarke County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",20130,970,1020,1210,1620,2030
51,Virginia,043,Clarke County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",20135,1490,1570,1860,2490,3130
51,Virginia,043,Clarke County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22611,830,880,1040,1390,1750
51,Virginia,043,Clarke County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22620,860,910,1080,1450,1820
51,Virginia,043,Clarke County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22646,850,890,1060,1420,1780
51,Virginia,043,Clarke County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22663,980,1030,1220,1630,2050
51,Virginia,045,Craig County,40220,"Roanoke, VA MSA",24070,760,880,1100,1440,1630
51,Virginia,045,Craig County,40220,"Roanoke, VA MSA",24127,440,510,640,840,950
51,Virginia,045,Craig County,40220,"Roanoke, VA MSA",24128,440,510,640,840,950
51,Virginia,045,Craig County,40220,"Roanoke, VA MSA",24131,440,510,640,840,950
51,Virginia,049,Cumberland County,40060,"Richmond, VA MSA",23027,640,670,800,1050,1270
51,Virginia,049,Cumberland County,40060,"Richmond, VA MSA",23038,780,820,970,1280,1550
51,Virginia,049,Cumberland County,40060,"Richmond, VA MSA",23040,710,740,880,1160,1400
51,Virginia,049,Cumberland County,40060,"Richmond, VA MSA",23123,640,670,800,1050,1270
51,Virginia,049,Cumberland County,40060,"Richmond, VA MSA",23901,640,670,800,1050,1270
51,Virginia,049,Cumberland County,40060,"Richmond, VA MSA",23936,640,670,800,1050,1270
51,Virginia,053,Dinwiddie County,40060,"Richmond, VA MSA",23803,630,670,790,1040,1260
51,Virginia,053,Dinwiddie County,40060,"Richmond, VA MSA",23805,710,750,890,1170,1420
51,Virginia,053,Dinwiddie County,40060,"Richmond, VA MSA",23824,670,710,840,1100,1340
51,Virginia,053,Dinwiddie County,40060,"Richmond, VA MSA",23830,510,540,640,840,1020
51,Virginia,053,Dinwiddie County,40060,"Richmond, VA MSA",23833,560,590,700,920,1120
51,Virginia,053,Dinwiddie County,40060,"Richmond, VA MSA",23840,610,640,760,1000,1210
51,Virginia,053,Dinwiddie County,40060,"Richmond, VA MSA",23841,640,670,800,1050,1270
51,Virginia,053,Dinwiddie County,40060,"Richmond, VA MSA",23850,660,690,820,1080,1310
51,Virginia,053,Dinwiddie County,40060,"Richmond, VA MSA",23872,590,620,730,960,1160
51,Virginia,053,Dinwiddie County,40060,"Richmond, VA MSA",23882,590,620,740,970,1180
51,Virginia,053,Dinwiddie County,40060,"Richmond, VA MSA",23885,880,930,1100,1450,1750
51,Virginia,053,Dinwiddie County,40060,"Richmond, VA MSA",23894,510,540,640,840,1020
51,Virginia,059,Fairfax County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",20120,1380,1450,1720,2300,2890
51,Virginia,059,Fairfax County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",20121,1340,1420,1680,2250,2820
51,Virginia,059,Fairfax County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",20124,1750,1850,2190,2930,3680
51,Virginia,059,Fairfax County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",20151,1230,1300,1540,2060,2590
51,Virginia,059,Fairfax County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",20153,1340,1420,1680,2250,2820
51,Virginia,059,Fairfax County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",20170,1440,1520,1800,2410,3030
51,Virginia,059,Fairfax County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",20171,1460,1540,1830,2450,3080
51,Virginia,059,Fairfax County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",20172,1340,1420,1680,2250,2820
51,Virginia,059,Fairfax County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",20190,1260,1320,1570,2100,2640
51,Virginia,059,Fairfax County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",20191,1260,1320,1570,2100,2640
51,Virginia,059,Fairfax County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",20194,1570,1650,1960,2620,3300
51,Virginia,059,Fairfax County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22003,1290,1360,1610,2150,2710
51,Virginia,059,Fairfax County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22009,1340,1420,1680,2250,2820
51,Virginia,059,Fairfax County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22015,1630,1720,2040,2730,3430
51,Virginia,059,Fairfax County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22027,1340,1420,1680,2250,2820
51,Virginia,059,Fairfax County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22030,1470,1550,1840,2460,3090
51,Virginia,059,Fairfax County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22031,1410,1480,1760,2360,2960
51,Virginia,059,Fairfax County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22032,1750,1850,2190,2930,3680
51,Virginia,059,Fairfax County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22033,1370,1440,1710,2290,2870
51,Virginia,059,Fairfax County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22039,1340,1420,1680,2250,2820
51,Virginia,059,Fairfax County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22041,1160,1220,1450,1940,2440
51,Virginia,059,Fairfax County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22042,1300,1370,1620,2170,2720
51,Virginia,059,Fairfax County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22043,1430,1510,1790,2400,3010
51,Virginia,059,Fairfax County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22044,1100,1160,1370,1830,2300
51,Virginia,059,Fairfax County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22046,1200,1270,1500,2010,2520
51,Virginia,059,Fairfax County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22060,1340,1420,1680,2250,2820
51,Virginia,059,Fairfax County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22066,1340,1420,1680,2250,2820
51,Virginia,059,Fairfax County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22079,1320,1390,1650,2210,2770
51,Virginia,059,Fairfax County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22101,1340,1420,1680,2250,2820
51,Virginia,059,Fairfax County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22102,1460,1540,1820,2440,3060
51,Virginia,059,Fairfax County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22103,1340,1420,1680,2250,2820
51,Virginia,059,Fairfax County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22106,1340,1420,1680,2250,2820
51,Virginia,059,Fairfax County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22116,1340,1420,1680,2250,2820
51,Virginia,059,Fairfax County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22124,1580,1670,1980,2650,3330
51,Virginia,059,Fairfax County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22150,1250,1320,1560,2090,2620
51,Virginia,059,Fairfax County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22151,1340,1410,1670,2240,2810
51,Virginia,059,Fairfax County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22152,1530,1610,1910,2560,3210
51,Virginia,059,Fairfax County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22153,1700,1790,2120,2840,3560
51,Virginia,059,Fairfax County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22180,1500,1590,1880,2520,3160
51,Virginia,059,Fairfax County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22181,1720,1810,2150,2880,3610
51,Virginia,059,Fairfax County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22182,1340,1420,1680,2250,2820
51,Virginia,059,Fairfax County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22183,1340,1420,1680,2250,2820
51,Virginia,059,Fairfax County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22199,1340,1420,1680,2250,2820
51,Virginia,059,Fairfax County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22302,1260,1320,1570,2100,2640
51,Virginia,059,Fairfax County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22303,1130,1190,1410,1890,2370
